# symbol->address linker-facts table (bead evm-asm-4ch8f.6, wave .9.3)
# Regenerate: scripts/gen-symbol-addresses.py --build
# columns: unit	symbol	address	section	stability
# STABLE addresses are pinned by codegen/linker flags; LINK_DEPENDENT
# addresses move on any .text/.data size change and MUST be read from the ELF.
stateless_guest	logs_list_bloom_add	0x80014910	.text	LINK_DEPENDENT
stateless_guest	header_extract_receipts_root	0x800149ec	.text	LINK_DEPENDENT
stateless_guest	block_validate_receipts_root_indexed	0x80014b24	.text	LINK_DEPENDENT
stateless_guest	rlp_encode_u64	0x80014c00	.text	LINK_DEPENDENT
stateless_guest	receipt_encode	0x80014ccc	.text	LINK_DEPENDENT
stateless_guest	receipt_records_encode_no_logs	0x80014ea0	.text	LINK_DEPENDENT
stateless_guest	block_validate_logs_bloom	0x80015098	.text	LINK_DEPENDENT
stateless_guest	receipt_extract_logs_bloom	0x8001516c	.text	LINK_DEPENDENT
stateless_guest	bloom_or_into	0x80015224	.text	LINK_DEPENDENT
stateless_guest	block_logs_bloom_from_receipts_list	0x8001525c	.text	LINK_DEPENDENT
stateless_guest	block_validate_receipts_consensus_list	0x800153b8	.text	LINK_DEPENDENT
stateless_guest	header_extract_logs_bloom	0x800155e4	.text	LINK_DEPENDENT
stateless_guest	bloom_eq	0x8001569c	.text	LINK_DEPENDENT
stateless_guest	simple_transfer_intrinsic_gas	0x800156e0	.text	LINK_DEPENDENT
stateless_guest	block_verdict	0x80015a48	.text	LINK_DEPENDENT
stateless_guest	rlp_list_count_items	0x8001c91c	.text	LINK_DEPENDENT
stateless_guest	tx_type_dispatch	0x8001cc04	.text	LINK_DEPENDENT
stateless_guest	tx_eip4844_decode	0x8001ccb8	.text	LINK_DEPENDENT
stateless_guest	tx_eip4844_validate_blob_hashes	0x8001cfd4	.text	LINK_DEPENDENT
stateless_guest	ssz_tx_list_versioned_hashes_match	0x8001d13c	.text	LINK_DEPENDENT
stateless_guest	tx_extract_to_address	0x8001d3f0	.text	LINK_DEPENDENT
stateless_guest	tx_extract_value	0x8001d648	.text	LINK_DEPENDENT
stateless_guest	tx_extract_data_section	0x8001d8c0	.text	LINK_DEPENDENT
stateless_guest	bgv_u32le	0x8001db54	.text	LINK_DEPENDENT
stateless_guest	bgv_u64le	0x8001db84	.text	LINK_DEPENDENT
stateless_guest	headers_keccak_array	0x8001dbb8	.text	LINK_DEPENDENT
stateless_guest	headers_validate_chain	0x8001dc64	.text	LINK_DEPENDENT
stateless_guest	bal_section_info	0x8001dd90	.text	LINK_DEPENDENT
stateless_guest	bal_gas_valid	0x8001de64	.text	LINK_DEPENDENT
stateless_guest	account_at_header_state_root	0x8001e00c	.text	LINK_DEPENDENT
stateless_guest	code_hash_at_header_state_root	0x8001e0f0	.text	LINK_DEPENDENT
stateless_guest	bal_code_preimages_valid	0x8001e220	.text	LINK_DEPENDENT
stateless_guest	bbcv_addr_is_system_contract	0x8001e868	.text	LINK_DEPENDENT
stateless_guest	bbcv_addr_eq20	0x8001e8f8	.text	LINK_DEPENDENT
stateless_guest	bal_addr_is_tx_sender	0x8001e934	.text	LINK_DEPENDENT
stateless_guest	bal_codes_contains_push20_extcodehash	0x8001ea80	.text	LINK_DEPENDENT
stateless_guest	bal_codes_contains_push20_code_read	0x8001eb84	.text	LINK_DEPENDENT
stateless_guest	bal_codes_contains_push20_balance	0x8001ec90	.text	LINK_DEPENDENT
stateless_guest	bal_codes_contains_push20_selfdestruct	0x8001ede0	.text	LINK_DEPENDENT
stateless_guest	bal_codes_contains_address_selfdestruct	0x8001eee4	.text	LINK_DEPENDENT
stateless_guest	bal_codes_contains_push20_call_target	0x8001efdc	.text	LINK_DEPENDENT
stateless_guest	bal_codes_contains_delegation_marker_target	0x8001f110	.text	LINK_DEPENDENT
stateless_guest	bal_call_target_delegated_code_valid	0x8001f204	.text	LINK_DEPENDENT
stateless_guest	bbcv_bal_contains_addr	0x8001f404	.text	LINK_DEPENDENT
stateless_guest	bal_same_block_delegation_code_resolve	0x8001f4f4	.text	LINK_DEPENDENT
stateless_guest	bal_txs_contains_push20_selfdestruct	0x8001f96c	.text	LINK_DEPENDENT
stateless_guest	bal_txs_contains_create_collision_touch	0x8001fb60	.text	LINK_DEPENDENT
stateless_guest	bal_txs_contains_top_create2_collision_touch	0x8001ff54	.text	LINK_DEPENDENT
stateless_guest	bal_tx_initcode_contains_create2_target	0x800202cc	.text	LINK_DEPENDENT
stateless_guest	bal_contains_internal_create_collision_touch	0x80020450	.text	LINK_DEPENDENT
stateless_guest	bal_contains_internal_create2_collision_touch	0x80020668	.text	LINK_DEPENDENT
stateless_guest	bal_codes_find_create2_push4_salt	0x80020850	.text	LINK_DEPENDENT
stateless_guest	bal_try_create2_initcodes	0x800209ac	.text	LINK_DEPENDENT
stateless_guest	bal_codes_contains_create_opcode	0x80020ae0	.text	LINK_DEPENDENT
stateless_guest	account_extract_balance	0x80020ba8	.text	LINK_DEPENDENT
stateless_guest	account_extract_nonce	0x80020c34	.text	LINK_DEPENDENT
stateless_guest	tx_gas_sender_bal_lookup	0x80020c90	.text	LINK_DEPENDENT
stateless_guest	simple_transfer_tx_context	0x80020f70	.text	LINK_DEPENDENT
stateless_guest	stage_runtime_payload	0x80021210	.text	LINK_DEPENDENT
stateless_guest	stage_creation_runtime_payload	0x80021384	.text	LINK_DEPENDENT
stateless_guest	block_verdict_single_tx_creation_runtime	0x80021524	.text	LINK_DEPENDENT
stateless_guest	slot_decode_u256	0x80021844	.text	LINK_DEPENDENT
stateless_guest	slot_at_index	0x800218c4	.text	LINK_DEPENDENT
stateless_guest	slot_at_header_state_root	0x8002195c	.text	LINK_DEPENDENT
stateless_guest	code_at_header_state_root	0x80021a5c	.text	LINK_DEPENDENT
stateless_guest	bytecode_is_self_contained	0x80021b48	.text	LINK_DEPENDENT
stateless_guest	bal_find_account_by_address	0x80021b90	.text	LINK_DEPENDENT
stateless_guest	bal_recipient_storage_keys	0x80021cc4	.text	LINK_DEPENDENT
stateless_guest	bal_recipient_storage_reads_keys	0x80021e94	.text	LINK_DEPENDENT
stateless_guest	stage_runtime_payload_code	0x80022050	.text	LINK_DEPENDENT
stateless_guest	bv_emit_single_tx_tl7708	0x80022418	.text	LINK_DEPENDENT
stateless_guest	dtrc_delegate_warm_probe	0x80022598	.text	LINK_DEPENDENT
stateless_guest	dispatch_tx_runtime_code	0x8002270c	.text	LINK_DEPENDENT
stateless_guest	tx_access_list_span	0x80023964	.text	LINK_DEPENDENT
stateless_guest	tx_eip2930_decode	0x80023b04	.text	LINK_DEPENDENT
stateless_guest	tx_eip1559_decode	0x80023d44	.text	LINK_DEPENDENT
stateless_guest	tx_eip7702_decode	0x80023fac	.text	LINK_DEPENDENT
stateless_guest	evm_storage_access_seed_key	0x80024238	.text	LINK_DEPENDENT
stateless_guest	seed_tx_access_list	0x8002434c	.text	LINK_DEPENDENT
stateless_guest	secf_copy32	0x80024654	.text	LINK_DEPENDENT
stateless_guest	secf_zero32	0x80024678	.text	LINK_DEPENDENT
stateless_guest	secf_be_to_le	0x8002468c	.text	LINK_DEPENDENT
stateless_guest	secf_le_to_be	0x800246dc	.text	LINK_DEPENDENT
stateless_guest	secf_get_bit_lsb	0x80024728	.text	LINK_DEPENDENT
stateless_guest	secf_is_zero32	0x8002474c	.text	LINK_DEPENDENT
stateless_guest	secf_eq32	0x8002477c	.text	LINK_DEPENDENT
stateless_guest	secf_cmp_p	0x800247b8	.text	LINK_DEPENDENT
stateless_guest	secf_reduce_once	0x80024818	.text	LINK_DEPENDENT
stateless_guest	secf_add_mod_p	0x80024898	.text	LINK_DEPENDENT
stateless_guest	secf_sub_mod_p	0x80024924	.text	LINK_DEPENDENT
stateless_guest	secf_mul_mod_p	0x800249b4	.text	LINK_DEPENDENT
stateless_guest	secf_square_mod_p	0x80024a1c	.text	LINK_DEPENDENT
stateless_guest	secf_pow_mod_p	0x80024a24	.text	LINK_DEPENDENT
stateless_guest	secf_inv_mod_p	0x80024aec	.text	LINK_DEPENDENT
stateless_guest	secf_sqrt_mod_p	0x80024b54	.text	LINK_DEPENDENT
stateless_guest	secf_reduce_once_n	0x80024c7c	.text	LINK_DEPENDENT
stateless_guest	secf_add_mod_n	0x80024cfc	.text	LINK_DEPENDENT
stateless_guest	secf_mul_mod_n	0x80024d88	.text	LINK_DEPENDENT
stateless_guest	secf_square_mod_n	0x80024df0	.text	LINK_DEPENDENT
stateless_guest	secf_pow_mod_n	0x80024df8	.text	LINK_DEPENDENT
stateless_guest	secf_inv_mod_n	0x80024ec0	.text	LINK_DEPENDENT
